"","Div","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","PSCH","PSCD","PSCA"
"216","SP2","25/09/2023","Tenerife","Espanol","H",1,0,2.73,2.99,3.06
"217","SP2","29/09/2023","Leganes","Santander","H",2,1,2.27,2.99,3.94
"218","SP2","30/09/2023","Eibar","Tenerife","H",3,0,1.81,3.35,5.59
"219","SP2","30/09/2023","Elche","Levante","D",0,0,2.3,3.32,3.42
"220","SP2","30/09/2023","Albacete","Andorra","H",3,1,1.93,3.44,4.55
"221","SP2","30/09/2023","Villarreal B","Alcorcon","D",2,2,2.59,3.22,3.02
"222","SP2","01/10/2023","Eldense","Oviedo","A",1,3,2.95,2.85,2.96
"223","SP2","01/10/2023","Amorebieta","Cartagena","D",0,0,2.72,3.09,2.98
"224","SP2","01/10/2023","Valladolid","Burgos","H",3,0,1.87,3.43,4.95
"225","SP2","01/10/2023","Zaragoza","Mirandes","A",0,1,1.88,3.38,4.97
"226","SP2","01/10/2023","Huesca","Sp Gijon","A",0,1,2.83,2.82,3.14
"227","SP2","02/10/2023","Espanol","Ferrol","H",3,0,1.54,4.19,7.04
"228","SP2","03/10/2023","Alcorcon","Albacete","A",1,2,3.14,3.04,2.63
"229","SP2","03/10/2023","Levante","Villarreal B","D",1,1,1.66,4.17,5.31
"230","SP2","03/10/2023","Tenerife","Santander","H",2,0,1.96,3.23,4.79
"231","SP2","04/10/2023","Eldense","Valladolid","A",0,1,3.61,3.32,2.23
"232","SP2","04/10/2023","Oviedo","Huesca","H",1,0,1.85,3.15,5.82
"233","SP2","04/10/2023","Burgos","Leganes","H",1,0,2.29,2.9,4.04
"234","SP2","04/10/2023","Sp Gijon","Elche","H",2,0,2.39,3.09,3.5
"235","SP2","05/10/2023","Andorra","Zaragoza","A",0,1,2.57,3.05,3.23
"236","SP2","05/10/2023","Mirandes","Eibar","A",1,3,4.05,3.17,2.15
"237","SP2","05/10/2023","Cartagena","Espanol","A",0,2,3.73,3.45,2.13
"238","SP2","05/10/2023","Ferrol","Amorebieta","H",1,0,1.71,3.58,5.95
"239","SP2","06/10/2023","Albacete","Levante","A",0,2,2.06,3.34,4.09
"240","SP2","07/10/2023","Huesca","Eldense","A",0,1,2.12,3.07,4.34
"241","SP2","07/10/2023","Santander","Sp Gijon","H",3,2,2.82,2.96,2.99
"242","SP2","07/10/2023","Leganes","Oviedo","D",0,0,2.51,2.78,3.72
"243","SP2","08/10/2023","Amorebieta","Eibar","A",1,2,4.77,3.2,1.97
"244","SP2","08/10/2023","Valladolid","Mirandes","H",3,2,1.61,3.89,6.57
"245","SP2","08/10/2023","Ferrol","Cartagena","D",1,1,1.89,3.32,4.98
"246","SP2","08/10/2023","Tenerife","Burgos","H",2,1,1.83,3.21,5.81
"247","SP2","08/10/2023","Zaragoza","Alcorcon","A",0,2,1.96,3.21,4.83
"248","SP2","09/10/2023","Elche","Andorra","H",2,1,1.86,3.52,4.78
"249","SP2","09/10/2023","Villarreal B","Espanol","H",3,1,4.5,3.8,1.83
"250","SP2","13/10/2023","Oviedo","Albacete","H",3,0,2.56,2.91,3.4
"251","SP2","14/10/2023","Mirandes","Tenerife","D",1,1,3.33,3.04,2.51
"252","SP2","14/10/2023","Cartagena","Santander","A",2,3,2.39,3.1,3.48
"253","SP2","14/10/2023","Sp Gijon","Zaragoza","D",2,2,1.99,3.31,4.49
"254","SP2","14/10/2023","Espanol","Valladolid","H",2,0,1.86,3.61,4.65
"255","SP2","15/10/2023","Burgos","Villarreal B","H",3,2,1.88,3.41,4.82
"256","SP2","15/10/2023","Andorra","Alcorcon","H",2,0,2.25,3.03,3.95
"257","SP2","15/10/2023","Eldense","Elche","D",1,1,3.5,3.18,2.34
"258","SP2","15/10/2023","Eibar","Huesca","D",1,1,1.59,3.7,7.53
"259","SP2","15/10/2023","Leganes","Amorebieta","H",6,0,1.74,3.63,5.58
"260","SP2","16/10/2023","Levante","Ferrol","H",1,0,2.05,3.31,4.2
"261","SP2","20/10/2023","Espanol","Leganes","A",0,1,1.76,3.67,5.3
"262","SP2","21/10/2023","Amorebieta","Oviedo","D",0,0,3.78,2.93,2.37
"263","SP2","21/10/2023","Villarreal B","Mirandes","A",0,3,2.02,3.51,4.02
"264","SP2","21/10/2023","Tenerife","Levante","D",0,0,2.25,3.16,3.75
"265","SP2","21/10/2023","Zaragoza","Eibar","A",2,3,3.07,2.8,2.91
"266","SP2","22/10/2023","Ferrol","Eldense","D",1,1,1.97,3.29,4.58
"267","SP2","22/10/2023","Huesca","Elche","A",0,1,3.14,3.01,2.65
"268","SP2","22/10/2023","Albacete","Sp Gijon","A",1,3,2.19,3.1,4.02
"269","SP2","22/10/2023","Santander","Burgos","H",3,0,2.1,3.31,3.99
"270","SP2","22/10/2023","Valladolid","Andorra","H",2,0,1.7,3.73,5.68
"271","SP2","23/10/2023","Alcorcon","Cartagena","D",1,1,2.15,3.21,3.97
"272","SP2","27/10/2023","Eibar","Valladolid","H",5,1,2.06,3.1,4.53
"273","SP2","28/10/2023","Eldense","Amorebieta","H",2,0,1.76,3.77,5.11
"274","SP2","28/10/2023","Andorra","Levante","H",2,0,2.39,3.13,3.44
"275","SP2","28/10/2023","Sp Gijon","Espanol","H",2,0,2.53,3.2,3.13
"276","SP2","28/10/2023","Elche","Tenerife","H",2,1,2.05,3.2,4.37
"277","SP2","29/10/2023","Mirandes","Cartagena","H",2,1,2.26,3.24,3.61
"278","SP2","29/10/2023","Huesca","Albacete","D",0,0,3.3,2.79,2.73
"279","SP2","29/10/2023","Leganes","Villarreal B","H",1,0,1.8,3.67,4.96
"280","SP2","29/10/2023","Oviedo","Alcorcon","H",2,0,1.83,3.3,5.59
"281","SP2","29/10/2023","Santander","Ferrol","A",1,3,2.18,3.19,3.92
"282","SP2","30/10/2023","Burgos","Zaragoza","D",1,1,2.44,2.84,3.76
"283","SP2","03/11/2023","Espanol","Eibar","D",2,2,2.51,3.27,3.09
"284","SP2","04/11/2023","Villarreal B","Sp Gijon","A",0,3,3.18,3.37,2.4
"285","SP2","04/11/2023","Levante","Mirandes","D",2,2,1.9,3.53,4.52
"286","SP2","04/11/2023","Valladolid","Tenerife","H",2,0,2.26,3.03,3.91
"287","SP2","04/11/2023","Albacete","Elche","D",1,1,2.16,3.3,3.82
"288","SP2","05/11/2023","Ferrol","Andorra","H",1,0,2.23,3.15,3.83
"289","SP2","05/11/2023","Amorebieta","Huesca","A",0,1,2.92,2.94,2.9
"290","SP2","05/11/2023","Alcorcon","Santander","H",3,1,2.63,3.22,2.97
"291","SP2","05/11/2023","Cartagena","Leganes","A",0,3,2.98,3.03,2.76
"292","SP2","05/11/2023","Eldense","Burgos","H",2,0,2.27,3.04,3.87
"293","SP2","06/11/2023","Zaragoza","Oviedo","D",0,0,2.79,2.8,3.21
"294","SP2","10/11/2023","Leganes","Levante","H",2,1,1.9,3.23,5.17
"295","SP2","11/11/2023","Santander","Valladolid","A",2,3,2.66,3.13,3.01
"296","SP2","11/11/2023","Elche","Zaragoza","H",2,0,2.07,3.26,4.19
"297","SP2","11/11/2023","Mirandes","Ferrol","A",1,2,2.48,3.04,3.39
"298","SP2","11/11/2023","Sp Gijon","Amorebieta","D",1,1,1.42,4.48,9.52
"299","SP2","12/11/2023","Burgos","Alcorcon","H",4,2,2.03,3.18,4.52
"300","SP2","12/11/2023","Andorra","Eldense","A",1,3,1.9,3.47,4.64
"301","SP2","12/11/2023","Huesca","Espanol","D",1,1,3.57,3.05,2.38
"302","SP2","12/11/2023","Tenerife","Villarreal B","A",0,1,1.74,3.53,5.82
"303","SP2","12/11/2023","Eibar","Albacete","D",1,1,1.79,3.55,5.34
"304","SP2","13/11/2023","Oviedo","Cartagena","D",1,1,1.85,3.25,5.5
"305","SP2","17/11/2023","Valladolid","Leganes","D",1,1,2.19,2.99,4.22
"306","SP2","18/11/2023","Alcorcon","Sp Gijon","D",0,0,3.34,3.07,2.48
"307","SP2","18/11/2023","Amorebieta","Tenerife","H",2,0,2.92,2.88,2.96
"308","SP2","18/11/2023","Zaragoza","Huesca","A",0,2,2.14,3.03,4.34
"309","SP2","18/11/2023","Espanol","Elche","H",2,0,1.86,3.58,4.71
"310","SP2","19/11/2023","Ferrol","Burgos","D",1,1,2.1,3.11,4.33
"311","SP2","19/11/2023","Eldense","Mirandes","D",2,2,2.23,3.26,3.66
"312","SP2","19/11/2023","Oviedo","Eibar","H",2,1,2.76,2.87,3.1
"313","SP2","19/11/2023","Cartagena","Albacete","D",1,1,3.69,3.23,2.24
"314","SP2","19/11/2023","Villarreal B","Andorra","D",0,0,2.61,3.46,2.81
"315","SP2","20/11/2023","Levante","Santander","A",2,4,2.1,3.47,3.79
"316","SP2","24/11/2023","Huesca","Valladolid","A",0,1,3.31,2.91,2.62
"317","SP2","25/11/2023","Burgos","Andorra","D",0,0,2.37,3.15,3.47
"318","SP2","25/11/2023","Santander","Villarreal B","H",2,0,1.84,3.91,4.33
"319","SP2","25/11/2023","Albacete","Zaragoza","H",1,0,1.93,3.25,4.92
