"","Div","Date","HomeAway","Equipo","FTR","FTHG","FTAG","PSCH","PSCD","PSCA","Ret","Fee","PSCH_adj","PSCD_adj","PSCA_adj","PH","PD","PA"
"469","SP1",2023-10-28,"HomeTeam","Barcelona","A",1,2,2.58,3.49,2.83,0.973248568689535,0.0267514313104654,2.65091579171181,3.58592872599775,2.9077874769552,0.377228127399044,0.278867784724795,0.343904087876161
"470","SP1",2023-10-28,"AwayTeam","Real Madrid","A",1,2,2.58,3.49,2.83,0.973248568689535,0.0267514313104654,2.65091579171181,3.58592872599775,2.9077874769552,0.377228127399044,0.278867784724795,0.343904087876161
"471","SP1",2023-10-28,"HomeTeam","Cadiz","D",2,2,3.9,3.49,2.08,0.976836817080829,0.023163182919171,3.99247851002865,3.57275641025641,2.12932187201528,0.250470978738674,0.279895936126312,0.469633085135014
"472","SP1",2023-10-28,"AwayTeam","Sevilla","D",2,2,3.9,3.49,2.08,0.976836817080829,0.023163182919171,3.99247851002865,3.57275641025641,2.12932187201528,0.250470978738674,0.279895936126312,0.469633085135014
"473","SP1",2023-10-28,"HomeTeam","Mallorca","D",0,0,2.33,2.96,3.9,0.977103873175481,0.0228961268245192,2.38459805959806,3.02936062506878,3.99138731005684,0.419357885483039,0.330102659856581,0.25053945466038
"474","SP1",2023-10-28,"AwayTeam","Getafe","D",0,0,2.33,2.96,3.9,0.977103873175481,0.0228961268245192,2.38459805959806,3.02936062506878,3.99138731005684,0.419357885483039,0.330102659856581,0.25053945466038
"475","SP2",2023-10-28,"HomeTeam","Andorra","H",2,0,2.39,3.13,3.44,0.972198492604696,0.0278015073953041,2.45834571662085,3.21950715189258,3.53837207747938,0.406777611968492,0.31060654715805,0.282615840873458
"476","SP2",2023-10-28,"AwayTeam","Levante","H",2,0,2.39,3.13,3.44,0.972198492604696,0.0278015073953041,2.45834571662085,3.21950715189258,3.53837207747938,0.406777611968492,0.31060654715805,0.282615840873458
"477","SP2",2023-10-28,"HomeTeam","Elche","H",2,1,2.05,3.2,4.37,0.97168714515719,0.0283128548428099,2.10973255148741,3.29324105598035,4.49733231707317,0.473993729344971,0.303652232861622,0.222354037793407
"478","SP2",2023-10-28,"AwayTeam","Tenerife","H",2,1,2.05,3.2,4.37,0.97168714515719,0.0283128548428099,2.10973255148741,3.29324105598035,4.49733231707317,0.473993729344971,0.303652232861622,0.222354037793407
"479","SP2",2023-10-28,"HomeTeam","Eldense","H",2,0,1.76,3.77,5.11,0.971695931907089,0.0283040680929113,1.81126620191334,3.87981453478029,5.25884675669159,0.552099961310846,0.257744279020448,0.190155759668706
"480","SP2",2023-10-28,"AwayTeam","Amorebieta","H",2,0,1.76,3.77,5.11,0.971695931907089,0.0283040680929113,1.81126620191334,3.87981453478029,5.25884675669159,0.552099961310846,0.257744279020448,0.190155759668706
"481","SP2",2023-10-28,"HomeTeam","Sp Gijon","H",2,0,2.53,3.2,3.13,0.973476906292137,0.0265230937078627,2.59893170926518,3.28718635163975,3.21527915019763,0.38477348074788,0.304211533216293,0.311014986035827
"482","SP2",2023-10-28,"AwayTeam","Espanol","H",2,0,2.53,3.2,3.13,0.973476906292137,0.0265230937078627,2.59893170926518,3.28718635163975,3.21527915019763,0.38477348074788,0.304211533216293,0.311014986035827
"483","SP1",2023-10-29,"HomeTeam","Ath Bilbao","D",2,2,1.65,3.97,5.83,0.971367617022467,0.0286323829775329,1.698635996388,4.08702115494568,6.00184718723762,0.588707646680283,0.24467698161775,0.166615371701967
"484","SP1",2023-10-29,"AwayTeam","Valencia","D",2,2,1.65,3.97,5.83,0.971367617022467,0.0286323829775329,1.698635996388,4.08702115494568,6.00184718723762,0.588707646680283,0.24467698161775,0.166615371701967
"485","SP1",2023-10-29,"HomeTeam","Ath Madrid","H",2,1,1.45,4.57,8.2,0.970473562479349,0.029526437520651,1.49411592037146,4.70904121110177,8.44948313589376,0.669292112054723,0.212357453496575,0.118350434448701
"486","SP1",2023-10-29,"AwayTeam","Alaves","H",2,1,1.45,4.57,8.2,0.970473562479349,0.029526437520651,1.49411592037146,4.70904121110177,8.44948313589376,0.669292112054723,0.212357453496575,0.118350434448701
"487","SP1",2023-10-29,"HomeTeam","Betis","H",2,1,1.99,3.47,4.21,0.972548181948956,0.0274518180510439,2.04617111721098,3.56794662146839,4.32883437359709,0.488717679371335,0.28027325128212,0.231009069346545
"488","SP1",2023-10-29,"AwayTeam","Osasuna","H",2,1,1.99,3.47,4.21,0.972548181948956,0.0274518180510439,2.04617111721098,3.56794662146839,4.32883437359709,0.488717679371335,0.28027325128212,0.231009069346545
"489","SP1",2023-10-29,"HomeTeam","Vallecano","D",2,2,3.38,3.16,2.42,0.975099065928262,0.024900934071738,3.46631446804059,3.24069636657049,2.48179911617107,0.28849084790777,0.308575653774766,0.402933498317464
"490","SP1",2023-10-29,"AwayTeam","Sociedad","D",2,2,3.38,3.16,2.42,0.975099065928262,0.024900934071738,3.46631446804059,3.24069636657049,2.48179911617107,0.28849084790777,0.308575653774766,0.402933498317464
"491","SP2",2023-10-29,"HomeTeam","Huesca","D",0,0,3.3,2.79,2.73,0.972995854091907,0.0270041459080933,3.39158690771594,2.86743256743257,2.80576735092864,0.294847228512699,0.348744033724698,0.356408737762603
"492","SP2",2023-10-29,"AwayTeam","Albacete","D",0,0,3.3,2.79,2.73,0.972995854091907,0.0270041459080933,3.39158690771594,2.86743256743257,2.80576735092864,0.294847228512699,0.348744033724698,0.356408737762603
"493","SP2",2023-10-29,"HomeTeam","Leganes","H",1,0,1.8,3.67,4.96,0.971205672077114,0.0287943279228864,1.85336644106531,3.7788082437276,5.10705419315774,0.539558706709508,0.264633698113655,0.195807595176837
